id,threshold,text_pixels,context_pixels,mask_fill_ratio,refined_mask_fill_ratio,refined_mask_iou,refined_mask_precision,refined_mask_recall,expanded_mask_fill_ratio,expanded_mask_iou,expanded_mask_precision,expanded_mask_recall,refined_eroded_fill_ratio,refined_eroded_iou,refined_eroded_precision,refined_eroded_recall,refined_eroded_twice_fill_ratio,refined_eroded_twice_iou,refined_eroded_twice_precision,refined_eroded_twice_recall,refined_mask_fallback,pipeline_flat_background_used,legacy_fast_path,fixed_fast_path,legacy_outside_modified_ratio,fixed_outside_modified_ratio,pipeline_outside_modified_ratio,input_outside_mae,legacy_outside_mae,fixed_outside_mae,legacy_text_mae,fixed_text_mae,pipeline_outside_mae,pipeline_text_mae,legacy_context_psnr,fixed_context_psnr,pipeline_context_psnr,telea_r2_text_mae,telea_r2_context_psnr,telea_r3_text_mae,telea_r3_context_psnr,ns_r2_text_mae,ns_r2_context_psnr,ns_r3_text_mae,ns_r3_context_psnr,vertical_text_mae,vertical_context_psnr,vertical_telea_25_text_mae,vertical_telea_25_context_psnr,vertical_telea_50_text_mae,vertical_telea_50_context_psnr,vertical_telea_75_text_mae,vertical_telea_75_context_psnr,outside_mae_improvement,context_psnr_improvement
1355,48,6108,12740,0.479435,0.511146,0.673962,0.780252,0.83186,0.554082,0.72501,0.783964,0.906025,0.406593,0.606147,0.822394,0.697446,0.316013,0.509159,0.84923,0.559758,False,False,False,False,0.0,0.0,0.229493,2.036289,2.036289,2.036289,23.633213,21.689205,7.046442,23.341137,20.488575,21.297135,19.161328,23.633213,20.488575,22.788692,20.807082,24.338844,20.252219,23.636379,20.484765,22.870443,20.951115,21.720312,21.287885,21.426926,21.487762,21.784927,21.367702,0.0,0.80856
1356,48,3953,10714,0.368957,0.473586,0.777318,0.778084,0.998735,0.727833,0.506925,0.506925,1.0,0.365503,0.675325,0.81001,0.802429,0.268247,0.513076,0.805498,0.585631,False,False,True,False,0.993492,0.0,0.546073,1.926786,14.742839,1.926786,15.23577,5.520786,2.293448,4.067797,23.511703,32.250913,33.064113,5.723838,32.014191,5.268488,32.443837,6.920567,31.242973,6.627456,31.475346,7.040729,30.937965,5.574584,32.21495,5.988448,31.865831,6.480142,31.436473,12.816053,8.73921
1357,48,5260,10054,0.523175,0.602546,0.655404,0.739683,0.851901,0.625622,0.669799,0.736566,0.880798,0.491745,0.617628,0.788026,0.740684,0.389596,0.5578,0.838907,0.624715,False,False,False,False,0.0,0.0,0.34564,0.933319,0.933319,0.933319,29.440811,30.816032,20.868933,43.591763,17.165156,17.318977,12.823505,29.440811,17.165156,29.943155,17.19743,29.304056,17.154762,29.747528,17.142679,38.742649,16.341049,30.813498,17.319198,32.836754,17.201119,35.548733,16.85977,0.0,0.153821
1358,48,6376,10971,0.581169,0.598943,0.925777,0.947192,0.976161,0.615623,0.913715,0.928191,0.983218,0.504512,0.812938,0.96495,0.837673,0.411266,0.673018,0.970745,0.686951,False,False,False,False,0.0,0.0,0.10555,0.870004,0.870004,0.870004,20.419594,19.350899,3.390932,22.868465,21.89747,22.484213,19.958955,20.419594,21.89747,19.674822,22.277822,20.515474,21.836743,19.938362,22.12598,21.682245,21.409444,19.349541,22.485591,19.583857,22.390747,20.36606,22.009017,0.0,0.586743
1359,48,9148,18019,0.507686,0.566791,0.892941,0.894252,0.99836,0.575837,0.8802,0.880879,0.999125,0.499084,0.833165,0.916824,0.90129,0.433653,0.745062,0.926798,0.791648,False,False,False,False,0.0,0.0,0.13933,0.915192,0.915192,0.915192,22.872868,21.933792,4.813249,24.093025,21.424932,21.815482,20.100187,22.872868,21.424932,22.160473,21.72453,22.93791,21.365217,22.530354,21.548363,27.65435,19.822155,21.932554,21.814834,22.937437,21.454735,24.918489,20.741188,0.0,0.39055
1360,48,8840,18984,0.465655,0.58918,0.555944,0.639696,0.809389,0.646597,0.603387,0.647332,0.898869,0.461968,0.512887,0.68073,0.675339,0.343131,0.438314,0.718299,0.529299,False,False,True,False,0.995662,0.0,0.423206,0.409667,18.765511,0.409667,10.850528,9.531863,6.370367,11.311727,21.037541,28.427433,24.795126,9.04178,28.518767,9.024095,28.619291,9.065271,28.516851,9.078092,28.566344,14.025339,25.271523,9.547511,28.419209,10.766064,27.62334,12.302376,26.497929,18.355844,7.389892
1361,48,7096,12792,0.554722,0.489759,0.681052,0.864006,0.762824,0.773061,0.717565,0.717565,1.0,0.373827,0.578052,0.90987,0.613162,0.270951,0.446255,0.940277,0.459273,False,False,False,False,0.0,0.0,0.490169,0.84258,0.84258,0.84258,15.718245,15.595922,8.71477,19.332066,23.824337,24.264204,20.987429,15.718245,23.824337,15.877349,23.904549,15.754369,23.719481,15.926203,23.732027,18.273863,23.088545,15.60466,24.261059,15.958897,24.223465,16.846439,23.797894,0.0,0.439867
1362,48,5894,15136,0.389403,0.503766,0.747092,0.758164,0.980828,0.512156,0.750834,0.754902,0.992874,0.428977,0.742684,0.813029,0.895657,0.358153,0.674312,0.84062,0.773159,False,False,False,False,0.0,0.0,0.203095,2.419101,2.419101,2.419101,13.278306,12.03184,1.687874,8.146363,25.965649,26.829386,28.212634,13.278306,25.965649,12.614693,26.361602,14.442201,25.4866,13.909626,25.772332,12.445933,26.054419,12.090318,26.806062,11.886948,26.907751,11.955265,26.633784,0.0,0.863737
1363,48,7577,13552,0.559106,0.614227,0.698643,0.78568,0.863138,0.645145,0.7408,0.79435,0.91659,0.518079,0.666438,0.831505,0.77049,0.428202,0.613993,0.877133,0.67177,False,False,True,False,0.998159,0.0,0.299414,0.698968,26.281729,0.698968,12.886806,10.165061,9.360446,18.006907,18.125146,28.006159,19.693456,10.065857,27.675996,10.00066,28.05795,9.623774,27.960488,9.568871,28.209611,13.598433,25.196415,10.165985,28.005564,10.860763,27.37117,12.020589,26.360082,25.582761,9.881013
1364,48,6551,12663,0.517334,0.712154,0.638325,0.672655,0.925966,0.724868,0.654918,0.678178,0.950237,0.609413,0.655989,0.732409,0.862769,0.516781,0.651741,0.789578,0.788735,False,False,True,False,0.999673,0.0,0.48053,0.508726,18.911158,0.508726,18.510559,11.707475,7.924138,12.205058,20.572574,27.04589,24.642375,11.741872,26.941542,11.601995,27.114072,11.788124,26.881782,11.714191,26.986059,13.415204,25.996874,11.707272,27.046817,12.057243,26.820781,12.639597,26.458821,18.402432,6.473316
