id,threshold,text_pixels,context_pixels,mask_fill_ratio,refined_mask_fill_ratio,refined_mask_iou,refined_mask_precision,refined_mask_recall,expanded_mask_fill_ratio,expanded_mask_iou,expanded_mask_precision,expanded_mask_recall,refined_eroded_fill_ratio,refined_eroded_iou,refined_eroded_precision,refined_eroded_recall,refined_eroded_twice_fill_ratio,refined_eroded_twice_iou,refined_eroded_twice_precision,refined_eroded_twice_recall,refined_mask_fallback,pipeline_flat_background_used,legacy_fast_path,fixed_fast_path,legacy_outside_modified_ratio,fixed_outside_modified_ratio,pipeline_outside_modified_ratio,input_outside_mae,legacy_outside_mae,fixed_outside_mae,legacy_text_mae,fixed_text_mae,pipeline_outside_mae,pipeline_text_mae,legacy_context_psnr,fixed_context_psnr,pipeline_context_psnr,telea_r2_text_mae,telea_r2_context_psnr,telea_r3_text_mae,telea_r3_context_psnr,ns_r2_text_mae,ns_r2_context_psnr,ns_r3_text_mae,ns_r3_context_psnr,vertical_text_mae,vertical_context_psnr,vertical_telea_25_text_mae,vertical_telea_25_context_psnr,vertical_telea_50_text_mae,vertical_telea_50_context_psnr,vertical_telea_75_text_mae,vertical_telea_75_context_psnr,outside_mae_improvement,context_psnr_improvement
753,48,4271,13978,0.305552,0.471956,0.611268,0.624981,0.965348,0.645443,0.473398,0.473398,1.0,0.399413,0.686751,0.71861,0.939358,0.329589,0.676993,0.777947,0.839148,False,False,True,False,0.998558,0.0,0.453075,1.515092,7.960372,1.515092,11.119098,6.574729,2.197692,4.947163,21.764012,31.30265,29.110053,7.28635,30.880679,6.574729,31.30265,8.86623,30.180747,8.426832,30.413961,8.67533,29.97879,6.893858,31.295198,7.3626,31.044863,7.946148,30.587244,6.44528,9.538638
754,48,9426,16560,0.569203,0.747403,0.761574,0.761574,1.0,0.808152,0.704326,0.704326,1.0,0.683394,0.823721,0.82787,0.993953,0.616848,0.78279,0.844249,0.914916,False,False,True,False,0.58901,0.0,0.413933,0.734651,18.553499,0.734651,25.336233,8.043815,4.116951,9.332909,15.819773,25.155914,23.216527,8.448865,24.80111,8.043815,25.155914,8.030695,25.245515,7.753872,25.471841,7.051418,26.217398,7.232513,25.744692,6.840158,26.152412,6.691987,26.319941,17.818848,9.336141
755,48,10510,19824,0.530165,0.692696,0.765366,0.765366,1.0,0.757314,0.70006,0.70006,1.0,0.628279,0.842802,0.843276,0.999334,0.562702,0.8235,0.877095,0.930923,False,False,True,False,0.999141,0.0,0.473373,0.794467,29.392958,0.794467,36.268856,8.701808,6.71108,12.211323,15.637932,27.579551,22.2727,8.957469,27.21774,8.701808,27.579551,8.74326,27.144037,8.663971,27.341873,7.830543,28.77565,7.890739,28.561725,7.435775,29.191359,7.391119,29.273896,28.598491,11.941619
756,48,6140,14663,0.418741,0.518857,0.766414,0.784043,0.971498,0.613653,0.681253,0.681707,0.999023,0.442474,0.753645,0.836467,0.883876,0.370456,0.676615,0.85972,0.760586,False,False,True,False,1.0,0.0,0.32207,1.978177,35.231415,1.978177,34.066177,15.504886,4.453948,14.630402,14.437682,21.588242,19.931451,16.060804,21.422901,15.504886,21.588242,16.613897,21.289485,16.429207,21.28435,14.514604,22.513905,14.827415,22.042656,14.41949,22.368352,14.302172,22.532808,33.253238,7.15056
757,48,6961,14094,0.493898,0.461686,0.684974,0.841402,0.786525,0.723287,0.682853,0.682853,1.0,0.368171,0.612261,0.889189,0.662836,0.285157,0.515737,0.929584,0.536704,False,False,False,False,0.0,0.0,0.41315,0.765737,0.765737,0.765737,11.975626,12.035292,6.253517,17.541637,26.330477,26.36638,21.855957,11.975626,26.330477,12.035292,26.36638,12.425992,25.855555,12.363405,25.959602,13.779007,25.391383,11.808504,26.654396,12.118757,26.557568,12.794474,26.104266,0.0,0.035903
758,48,11201,19632,0.570548,0.756978,0.753718,0.753718,1.0,0.806489,0.707446,0.707446,1.0,0.706245,0.805257,0.806419,0.998214,0.653219,0.789039,0.826263,0.945987,False,False,False,False,0.0,0.0,0.538845,0.706243,0.706243,0.706243,11.237002,11.233937,11.944372,21.660982,23.118904,23.230092,17.151102,11.237002,23.118904,11.233937,23.230092,11.009731,23.115312,10.912538,23.204992,14.30905,22.265638,11.297741,23.414106,11.968217,23.290284,13.0025,22.884953,0.0,0.111188
759,48,5956,17604,0.338332,0.372643,0.788,0.840854,0.926125,0.619291,0.546322,0.546322,1.0,0.274483,0.606074,0.842508,0.683512,0.17763,0.376838,0.795011,0.417394,False,False,True,False,0.999227,0.0,0.312586,0.569196,30.212225,0.569196,28.315369,2.726438,1.281021,3.31548,17.144824,36.447162,34.395744,2.936143,35.890842,2.726438,36.447162,2.908664,35.282128,2.78274,35.603499,2.998265,34.69556,2.719387,36.391644,2.612548,36.072773,2.714406,35.463494,29.643029,19.302338
760,48,7534,14490,0.519945,0.558868,0.704317,0.797728,0.857446,0.697999,0.744908,0.744908,1.0,0.454589,0.673303,0.862608,0.754181,0.36432,0.603429,0.913431,0.640032,False,False,True,False,0.998706,0.0,0.339132,0.787186,7.613284,0.787186,6.835413,6.429785,4.051658,7.315901,28.044614,32.521994,27.864506,6.523715,32.334619,6.429785,32.521994,6.310459,32.421745,6.224405,32.583556,7.740156,30.859078,6.486506,32.432737,6.731971,32.085962,7.162419,31.538361,6.826098,4.47738
761,48,6271,14430,0.434581,0.614414,0.603496,0.642567,0.908468,0.749272,0.579419,0.579634,0.999362,0.517048,0.576398,0.672966,0.80067,0.426334,0.52523,0.695384,0.682188,False,False,False,False,0.0,0.0,0.509254,1.878212,1.878212,1.878212,21.856907,21.244141,16.220942,26.163292,20.772151,21.051409,16.258922,21.856907,20.772151,21.244141,21.051409,23.09403,20.540403,22.832296,20.658663,24.699728,20.773025,20.52586,21.609357,21.091106,21.754871,22.556265,21.447783,0.0,0.279258
762,48,8419,14916,0.564427,0.672969,0.786911,0.809723,0.965435,0.766023,0.729562,0.732627,0.994299,0.587758,0.763028,0.848409,0.883478,0.508246,0.698874,0.868223,0.781803,False,False,False,False,0.0,0.0,0.44913,0.862706,0.862706,0.862706,7.999881,8.178367,12.496126,17.451836,26.733921,26.652412,17.591151,7.999881,26.733921,8.178367,26.652412,7.939858,26.671804,8.052777,26.528944,8.602249,25.881218,7.752029,27.238051,7.680009,27.285701,7.931148,26.781092,0.0,-0.081509
763,48,9413,16368,0.575086,0.737903,0.779351,0.779351,1.0,0.809995,0.709986,0.709986,1.0,0.668683,0.851906,0.855642,0.994901,0.598851,0.820119,0.883289,0.919792,False,False,False,False,0.0,0.0,0.547232,1.062497,1.062497,1.062497,13.093523,12.896278,8.258711,17.465101,24.099231,24.222603,20.42119,13.093523,24.099231,12.896278,24.222603,13.12334,24.079122,12.900882,24.229796,13.674351,24.067018,12.355466,24.646148,12.329083,24.767869,12.786643,24.561467,0.0,0.123372
764,48,10292,17232,0.597261,0.805536,0.741445,0.741445,1.0,0.869429,0.686958,0.686958,1.0,0.737697,0.803245,0.806089,0.995628,0.666783,0.790694,0.837076,0.934512,False,False,True,False,0.996974,0.0,0.662392,1.300048,58.026947,1.300048,63.051884,13.073034,10.893756,18.779018,10.985201,24.666706,20.534697,13.415468,24.381753,13.073034,24.666706,13.675346,24.221324,13.405687,24.405974,14.879519,23.743957,12.519756,25.146391,12.69873,25.122929,13.534557,24.607039,56.726899,13.681505
765,48,7197,15456,0.465644,0.544513,0.849882,0.852305,0.996665,0.646804,0.719916,0.719916,1.0,0.464868,0.800676,0.890049,0.888565,0.389428,0.706832,0.909287,0.760456,False,False,False,False,0.0,0.0,0.328853,1.422448,1.422448,1.422448,22.883747,22.432589,6.641684,19.92395,19.950844,20.330815,20.158535,22.883747,19.950844,22.432589,20.330815,22.267426,20.11088,22.17271,20.268865,9.3413,27.034917,18.286369,22.333792,14.516373,24.574643,11.323376,26.575967,0.0,0.379971
